id,ra,dec,sky_centroid,sky_centroid_icrs,area,equivalent_radius,perimeter,semimajor_axis_sigma,semiminor_axis_sigma,orientation,eccentricity,ellipticity,elongation,covar_sigx2,covar_sigxy,covar_sigy2,cxx,cxy,cyy,gini,r_petrosian_f105w,r_petrosian_f125w,r_petrosian_f140w,r_petrosian_f160w,r_petrosian_f435w,r_petrosian_f606w,r_petrosian_f814w,r_half_light_f105w,r_half_light_f125w,r_half_light_f140w,r_half_light_f160w,r_half_light_f435w,r_half_light_f606w,r_half_light_f814w,r_total_flux_f105w,r_total_flux_f125w,r_total_flux_f140w,r_total_flux_f160w,r_total_flux_f435w,r_total_flux_f606w,r_total_flux_f814w,r_half_light_arcsec_f105w,r_half_light_arcsec_f125w,r_half_light_arcsec_f140w,r_half_light_arcsec_f160w,r_half_light_arcsec_f435w,r_half_light_arcsec_f606w,r_half_light_arcsec_f814w,r_total_flux_arcsec_f105w,r_total_flux_arcsec_f125w,r_total_flux_arcsec_f140w,r_total_flux_arcsec_f160w,r_total_flux_arcsec_f435w,r_total_flux_arcsec_f606w,r_total_flux_arcsec_f814w,r20_f105w,r20_f125w,r20_f140w,r20_f160w,r20_f435w,r20_f606w,r20_f814w,r80_f105w,r80_f125w,r80_f140w,r80_f160w,r80_f435w,r80_f606w,r80_f814w,c2080_f105w,c2080_f125w,c2080_f140w,c2080_f160w,c2080_f435w,c2080_f606w,c2080_f814w,n_estimate_f105w,n_estimate_f125w,n_estimate_f140w,n_estimate_f160w,n_estimate_f435w,n_estimate_f606w,n_estimate_f814w,f_half_light_f105w,f_half_light_f125w,f_half_light_f140w,f_half_light_f160w,f_half_light_f435w,f_half_light_f606w,f_half_light_f814w,mag_half_light_f105w,mag_half_light_f125w,mag_half_light_f140w,mag_half_light_f160w,mag_half_light_f435w,mag_half_light_f606w,mag_half_light_f814w,mag_half_light_err_f105w,mag_half_light_err_f125w,mag_half_light_err_f140w,mag_half_light_err_f160w,mag_half_light_err_f435w,mag_half_light_err_f606w,mag_half_light_err_f814w,f_total_f105w,f_total_f125w,f_total_f140w,f_total_f160w,f_total_f435w,f_total_f606w,f_total_f814w,mag_total_f105w,mag_total_f125w,mag_total_f140w,mag_total_f160w,mag_total_f435w,mag_total_f606w,mag_total_f814w,mag_total_err_f105w,mag_total_err_f125w,mag_total_err_f140w,mag_total_err_f160w,mag_total_err_f435w,mag_total_err_f606w,mag_total_err_f814w
394,3.5883691838693212,-30.398358036751503,"3.588454845082246,-30.398367936972623","3.5884518133457592,-30.398370113813794",12326.0,62.637749457506885,707.7016228714147,22.253851676097167,13.172882348707928,8.832838014374385,0.8059840986668803,0.40806281355524154,1.6893684379015161,487.64856854302525,48.81328927984923,181.11017525160824,0.002107515835718328,-0.0011360463873204547,0.005674596024447689,0.7868853455670275,26.65213042608522,26.452890578115625,26.30346069213843,26.104220844168836,29.54110822164433,25.157831566313263,23.31486297259452,10.364272854570915,10.264652930586118,10.264652930586118,10.21484296859372,12.904580916183237,9.915983196639328,9.21864372874575,53.30426085217044,52.90578115623125,52.60692138427686,52.20844168833767,59.08221644328866,50.315663132626526,46.62972594518904,0.6218562559858888,0.6158786414437208,0.6158771877655493,0.6128907218570734,0.7742847137586382,0.5949641186320268,0.5531237703842481,3.1982550581931988,3.1743441150287355,3.156405094088431,3.1325072359681494,3.5449781239814184,3.018965802527263,2.797809589534524,3.8391678335667137,3.888977795559112,3.988597719543909,3.988597719543909,4.038407681536308,3.390878175635127,3.2912582516503304,26.65213042608522,26.452890578115625,26.30346069213843,26.25365073014603,33.774954990998204,26.00460092018404,23.862772554510904,4.207474158387337,4.163188359849066,4.095963274333374,4.091847333116604,4.611923098190907,4.4236900306709925,4.301794704388943,3.161798010023199,3.0513010292516562,2.891137886281092,2.881620653910485,4.376221797602309,3.7622473549695252,3.4109343574120077,334.8247292234447,410.73762439707946,570.2336114542909,401.11219224684936,9.998372317463492,112.22765806261252,155.5657638929786,19.95677405275201,19.69630590643631,19.562184745188762,19.438062546503332,23.165663212532095,21.368074786948142,20.46683737158322,23.112795960612726,22.963261515097187,23.00725076078936,22.69214487530504,24.41557484364709,23.930699662284237,23.206729903946435,669.9672294952991,822.4135327947589,1139.9968670842168,801.7265511666334,19.97645403460692,224.48933721104223,311.0931586909382,19.203683967681922,18.942491503720124,18.810057631842433,18.68616153766593,22.414190473980508,20.615335243318533,19.71439628490758,22.736250918077683,22.586354313739093,22.631187204116195,22.31619437088634,24.039838474371297,23.554329890469432,22.830509360608612
443,3.573953194832209,-30.408824632217048,"3.573944923146437,-30.408827778651585","3.5739418924790707,-30.408829956929896",9203.0,54.123986203433184,477.77164466275354,17.27714422584916,7.917618764131109,-41.584109262522844,0.888812379748069,0.5417287336014026,2.1821136809616495,194.6196193109933,-117.06834570999516,166.56878018392064,0.008901445045589209,0.01251227804832248,0.01040048347702034,0.8164140592596071,33.27685537107422,33.027805561112224,33.27685537107422,33.17723544708942,35.269253850770156,34.42248449689938,32.62932586517304,12.904580916183237,12.755151030206042,12.854770954190839,12.854770954190839,14.598119623924786,13.153630726145229,12.356671334266855,66.55371074214844,66.05561112222445,66.55371074214844,66.35447089417885,70.53850770154031,68.84496899379876,65.25865173034607,0.7742747114251739,0.7653083977622819,0.771283767524837,0.7712864381414968,0.8758983300457353,0.7892246443544265,0.741407178639124,3.9932219042098627,3.9633332283907383,3.99320975433075,3.9812691873790222,4.232364351805899,4.13073373435392,3.9155555369523585,4.835367073414683,4.885177035407082,4.984796959391879,4.984796959391879,4.984796959391879,4.536507301460292,4.3870774154830965,29.690538107621528,29.441488297659532,29.690538107621528,29.690538107621528,35.07001400280056,31.085217043408683,29.24224844968994,3.940943099713714,3.900397266931459,3.8748529771456837,3.8748529771456837,4.236442329748825,4.1791614492118,4.119177322625878,2.5545533700201526,2.4735938651259537,2.4240119609205713,2.4240119609205713,3.236285053466564,3.0906902965471965,2.945433537550483,379.0090759775955,457.84525499719945,631.4136016073215,440.22590896559313,12.169655185037008,138.55057841168235,186.7874542864573,19.82219384355463,19.578420329712777,19.451531943841797,19.337038206986485,22.952290791996536,21.139303679656397,20.26825317837768,23.04550585601404,22.904318726735422,22.95192436011588,22.641632705546616,24.30888863337931,23.816314108638366,23.107437807343665,757.3545314128826,917.1446684718944,1264.2728990768155,881.4725127579516,24.36535676315263,277.0263649845969,373.5008323606721,19.07056979788597,18.824122509327957,18.697714705110137,18.58320526885325,22.19855453775341,20.38702177901657,19.515893501324385,22.669693833179707,22.52716981654301,22.57501574075005,22.264716236479998,23.932020506257746,23.44017315831845,22.73125796881702
518,3.5892188789531154,-30.389841328911782,"3.589186674335499,-30.389857572725962","3.589183641482348,-30.389859749494647",5908.0,43.36559474484162,444.4579361637688,10.506510412169693,8.957280156889578,0.9410025238756992,0.5226527034284801,0.14745431113699192,1.1729576643964306,110.37862823047413,0.4951461991924878,80.2410006195638,0.009059975631515588,-0.00011181347351313465,0.012462801738347148,0.8244714000552941,20.92398479695939,20.874174834966993,20.874174834966993,20.824364872974595,25.20764152830566,20.774554910982197,20.425885177035408,7.624724944988998,7.624724944988998,7.624724944988998,7.624724944988998,8.770354070814165,7.375675135027006,7.126625325065014,41.84796959391878,41.74834966993399,41.74834966993399,41.64872974594919,50.41528305661132,41.54910982196439,40.851770354070815,0.45748341188469893,0.45748309974604606,0.4574820199339675,0.4574836039931107,0.5262279445871955,0.4425443215267593,0.42760149821433086,2.5108777101336774,2.504898806721582,2.50489289432834,2.4989243708304554,3.024955499453333,2.492968071340458,2.451129028303324,2.842968593718744,2.8927785557111423,2.942588517703541,2.9923984796959395,2.64372874574915,2.3946789357871574,2.3946789357871574,17.636527305461094,17.636527305461094,17.636527305461094,17.636527305461094,20.575315063012603,17.835767153430687,17.387477495499102,3.963205065155492,3.925489428659101,3.888417695604293,3.851968248350312,4.455648004598264,4.360222499674123,4.304946434229614,2.6002110651284234,2.5233650989040055,2.4502061967524535,2.3805048588451814,3.860097740660486,3.575074293921593,3.419593178623372,366.00605345749153,448.08369799379875,618.7045509065813,434.9387739509902,10.894362168633728,126.96125703160632,178.79136770034006,19.860097197600503,19.60181926408773,19.473608500133608,19.350156889344774,23.07248195295797,21.234146503426878,20.315756069771332,23.064457533036975,22.916018193922895,22.962962638261786,22.64819204672576,24.368984213860024,23.863735520523605,23.131189253040493,732.1408234368873,896.0598624776956,1241.6055129079816,869.8064561078216,21.796072045009,254.29897815003,357.28013005261056,19.107331310091826,18.84937456312032,18.717357695768257,18.597670636914764,22.31954088786995,20.479962999987734,19.56410027677516,22.688074589282635,22.53979584343919,22.584837236079107,22.271948920510756,23.992513681316016,23.486643768804033,22.755361356542405
425,3.587441461232976,-30.393291416196778,"3.58737788128254,-30.393313606522593","3.587374848849156,-30.393315783470438",13046.0,64.44121953496638,659.7310601229373,24.22903851491874,13.58405028149871,-32.87794775967428,0.8280517700133926,0.43934835577010234,1.783638753746249,468.4287354118912,-183.5096811633413,303.14399399580986,0.0027984531896164087,0.0033881143136495124,0.004324268053087362,0.7200448841470443,62.41568313662733,61.66853370674135,59.32746549309862,52.25445089017804,61.66853370674135,65.05561112222445,63.4118823764753,24.460492098419685,23.26505301060212,22.517903580716144,21.67113422684537,29.441488297659532,29.441488297659532,26.751750350070015,124.83136627325466,123.3370674134827,118.65493098619724,104.50890178035608,123.3370674134827,130.1112222444489,126.8237647529506,1.4676292538156475,1.3959019694266095,1.351069853549872,1.3002683585630619,1.7665117904444092,1.7665045199117297,1.6051199561892688,7.489880587816992,7.4002176237176425,7.1192728779502685,6.2705355774520095,7.400318271344807,7.806740605716254,7.609496689381352,10.862372474494899,10.115223044608923,9.816363272654531,9.51750350070014,16.83956791358272,14.79735947189438,12.008001600320064,46.37687537507502,45.181436287257455,44.03580716143229,42.34226845369074,48.76775355071015,51.656731346269254,49.06661332266454,3.1518839701861987,3.249922845781427,3.2592766966857454,3.241255380321041,2.3090090343152876,2.7147134893051375,3.056576730068861,1.375867357816167,1.4880993586216136,1.4991434741209098,1.4779193584540127,0.6131579603372432,0.9406231471351179,1.2725436967793244,356.00216642708546,421.82457519683936,607.0026898355671,444.3497873838768,15.419680464892979,109.6891002504501,163.76030704320866,19.890186266346973,19.667387429195124,19.494340237424403,19.32691476235785,22.695298039464944,21.392915852372447,20.411100826465077,23.07950206741021,22.948802276476595,22.97332850690718,22.636570983232296,24.180392257113514,23.94312019499639,23.178861631387363,712.020225530106,844.3460961790357,1214.9692295059012,889.7693628533707,30.85178525505101,219.2435254810962,327.6448761604321,19.13758704269815,18.913915874341104,18.740903578724943,18.57303358474389,21.942285725315053,20.641007595117507,19.65811398461672,22.7032024555858,22.572066499049583,22.59661017755745,22.25963039442532,23.803886100038568,23.56716606636892,22.802368210463186
552,3.589180088963307,-30.387407999002537,"3.589183291867498,-30.38739387509322","3.589180258686318,-30.387396051862233",5136.0,40.43314946229083,324.3980156401965,9.573244314575907,7.618386582464198,-78.5564123738746,0.60555971354401,0.2042001298489069,1.256597339994711,59.36271955476974,-6.5352168238666914,90.32410127166074,0.016980847086247194,0.0024572293773017237,0.011160136100901245,0.8229091542495842,21.521704340868176,21.870374074814965,21.96999399879976,22.119423884776957,21.72094418883777,20.127025405081017,20.32626525305061,7.176435287057412,7.325865173034607,7.425485097019404,7.475295059011803,6.279855971194239,6.329665933186638,6.479095819163833,43.04340868173635,43.74074814962993,43.93998799759952,44.238847769553914,43.44188837767554,40.254050810162035,40.65253050610122,0.43058603739541335,0.4395515289878188,0.44552766764479157,0.4485178087317283,0.3767961559296997,0.37978322860106095,0.3887493663522136,2.582604042105106,2.624442611776431,2.6363907695092763,2.6543314886944183,2.6065464912123457,2.415263861051498,2.4391745261919033,2.7433486697339466,2.842968593718744,2.942588517703541,2.9923984796959395,2.2950590118023606,2.2452490498099618,2.344868973794759,17.337667533506703,17.686337267453492,17.835767153430687,17.985197039407883,16.04260852170434,16.441088217643532,16.640328065613126,4.003548311515224,3.969329202095418,3.912811290049292,3.8944788736519778,4.222405644830301,4.323330191821702,4.255216519510699,2.6851890735385666,2.6129238732711775,2.4980840549628383,2.4620094264747805,3.19997102839255,3.470539802456858,3.285511222185805,344.4997054378876,425.92424196179235,598.3629870470095,421.4807369161832,8.628111866173235,113.54570319063812,164.93559132626527,19.925845731215237,19.656886225906277,19.50990497258114,19.384282877358324,23.32569705668454,21.35539777700601,20.4033364817232,23.09733179984434,22.94355167483217,22.98111087448555,22.665255040732536,24.49559176572331,23.92436115731317,23.174979459016427,689.9389961264253,854.14883464973,1197.3574890028005,844.7773878627726,17.301667636727345,227.8823713940788,331.02163841368275,19.17179113734374,18.90138324201446,18.756757189175055,18.62937150261989,22.570266562240114,20.599047712190185,19.646981476519112,22.72030450290859,22.56580018288626,22.604536982782506,22.28779935336332,24.1178765185011,23.546186124905258,22.79680195641438
483,3.5989580780728603,-30.397523743223818,"3.5989748654950326,-30.397517714551892","3.5989718338797645,-30.397519890351013",14849.0,68.75015272668932,576.8843430349616,21.383893628655784,17.383967080145023,-83.42177887605072,0.5823380139359053,0.18705323819749098,1.2300928510776605,304.2374146435377,-17.647632969638245,455.2358035216935,0.0032943145061625485,0.0002554142395723994,0.002201614461393821,0.697201934208061,50.56091218243649,50.660532106421286,50.76015203040608,51.108821764352875,56.13962792558512,52.90198039607922,50.511102220444094,23.21524304860972,23.36467293458692,23.464292858571717,23.613722744548912,28.84376875375075,24.062012402480498,23.165433086617323,101.12182436487298,101.32106421284257,101.52030406081217,102.21764352870575,112.27925585117023,105.80396079215843,101.02220444088819,1.392914324678743,1.4018791596793523,1.4078530269234582,1.4168236969610337,1.7306481611666105,1.443733184865281,1.3899389181836963,6.0673083370503305,6.079258577861562,6.091198581081135,6.133060050110812,6.7368411297055255,6.34829235106193,6.061388665952373,7.624724944988998,7.7243448689737955,7.774154830966194,7.823964792958592,9.368073614722945,7.624724944988998,7.325865173034607,41.74454890978196,41.74454890978196,41.89397879575915,42.09321864372875,59.676135227045414,43.03960792158432,41.74454890978196,3.691877954599513,3.6636905847446934,3.6574921135902128,3.653926238476079,4.020751973083288,3.7582206242776763,3.7787042545006106,2.0989136583484695,2.053208702351289,2.04330450653186,2.0376304192297674,2.7223207952192316,2.210935184250093,2.2468294850770225,368.1641381120224,447.2818939511903,619.251656959992,432.799346030006,12.808989694338868,134.0404392588518,182.1710713114623,19.853714161574473,19.60376382822716,19.472648833087348,19.355510714432175,22.896699284178112,21.17523493168138,20.29542390547588,23.06126601502396,22.916990475992613,22.962482804738652,22.65086895926946,24.281092879470098,23.834279734650856,23.121023170892766,736.9421337837567,894.3080975459092,1239.340837929986,865.6203041010202,25.621310032006402,267.9888449747949,364.4820552480496,19.100234399724883,18.851499215994004,18.71933987510699,18.60290861723397,22.143983145517723,20.423032745334908,19.542432058025792,22.684526134099166,22.54085816987603,22.585828325748473,22.27456791067036,23.904734810139903,23.45817864147762,22.74452724716772
391,3.582166484121396,-30.398574869336226,"3.5821787276235755,-30.39854769532912","3.5821756957711144,-30.398549872791936",10840.0,58.740779414579535,713.5889244992064,13.859738299812808,12.918341756426782,83.66860112184952,0.3622605044000155,0.06792311103007909,1.0728728625651731,167.19012939096038,2.7630442072006907,191.78577008417747,0.005982638774526842,-0.00017238291873766505,0.005215392937513043,0.8226956343572186,19.628925785157033,19.977595519103822,20.02740548109622,20.176835367073416,21.72094418883777,19.13082616523305,18.38367673534707,7.774154830966194,7.923584716943389,7.9733946789357875,8.023204640928185,9.716743348669734,7.574914982996599,7.226245249049811,39.25785157031407,39.955191038207644,40.05481096219244,40.35367073414683,43.44188837767554,38.2616523304661,36.76735347069414,0.4664492033811275,0.47541467050427344,0.4784021364400255,0.48139239135679723,0.5830120242770437,0.45449881541736853,0.4335787492700412,2.355470657528916,2.3973093821722182,2.4032808998703445,2.4212208118984746,2.6065464912123457,2.295718922145406,2.2060617350191998,3.191638327665533,3.2414482896579315,3.3410682136427288,3.3410682136427288,3.2414482896579315,2.842968593718744,2.842968593718744,17.586717343468695,17.885577115423086,17.985197039407883,18.134626925385078,25.157831566313263,18.134626925385078,16.69013802760552,3.705855559078862,3.7088193018437114,3.6551492878007092,3.6731164144453805,4.449670537009135,4.023682817101829,3.843439331245158,2.121989160198626,2.126917514767688,2.0395746191762343,2.0683702848058125,3.841609112944807,2.7287007177814804,2.3645074004309126,318.7886252910582,397.7504503380676,553.2139966561313,390.4602406531306,10.120301388077616,110.13240336507302,152.36583711622325,20.01006082616653,19.73119042367662,19.59508387765205,19.467285160071885,23.152502859206685,21.388536745817444,20.489403431121982,23.139439347319986,22.98070377371734,23.023700327021004,22.706756182089315,24.408994666984384,23.94093064171889,23.218012933715816,638.1294672888578,794.0550462992599,1105.2795662618523,780.0054288269654,20.251975347669536,220.83486871874376,304.8605055525105,19.256545869064993,18.980590598561324,18.843636423580378,18.715983140645324,22.399317999619555,20.63315541913783,19.736369522588646,22.76268186876922,22.605403861159694,22.647976599985167,22.331105172376034,24.03240223719082,23.56323997837908,22.84149597944915
229,3.58529659575686,-30.387574827811058,"3.5853115010955547,-30.387545215039925","3.585308467848255,-30.38754739219245",7535.0,48.9741257440586,429.9310242291876,17.678323195277848,6.555575469270466,-58.49205525827978,0.928702507024622,0.6291743624745156,2.6966851770902074,116.59663347373483,-120.10127264170377,238.90204725626464,0.01778754819068619,0.017884377295314502,0.008681249326261046,0.8182725729086013,33.27685537107422,33.625525105021005,33.7251450290058,33.8247649529906,30.487497499499902,30.636927385477097,31.234646929385878,14.050210042008402,14.199639927985597,14.299259851970396,14.349069813962794,13.253250650130028,12.854770954190839,13.153630726145229,66.55371074214844,67.25105021004201,67.4502900580116,67.6495299059812,60.974994998999804,61.273854770954195,62.469293858771756,0.843012446231126,0.8519776564270473,0.8579528216213629,0.8609443907553214,0.7952051641706877,0.7712929035185127,0.7892251870848067,3.9932219042098627,4.035059511423647,4.047004339632042,4.058972746311003,3.6585462833611153,3.67646296651077,3.748192507392469,6.080616123224646,6.130426085217044,6.230046009201841,6.279855971194239,5.482896579315863,5.2836567313462695,5.482896579315863,28.993198639727947,29.292058411682337,29.441488297659532,29.590918183636727,28.345669133826767,26.851370274054812,27.449089817963593,3.3917427214034506,3.396296155022431,3.372342531488714,3.3660437895517905,3.567383296889735,3.530159294117528,3.497589470870617,1.6627049886367076,1.6685907076671707,1.6378395104202994,1.6298384465967481,1.9050322439526863,1.850858006187324,1.8047679698522399,331.048417469894,383.2778670738148,516.0499920628126,353.4362113214643,17.912907778155635,162.3487741414283,183.44641353250648,19.96908907812596,19.771432771195105,19.67058733712159,19.575449596333794,22.53257124973957,20.967202003330822,20.287849372548358,23.1189534732997,23.000824947476584,23.061452056755776,22.76083840022027,24.099028862250826,23.730263270475575,23.117235904429002,662.6481735079016,766.0054220530106,1032.1427555005,707.3813148773755,35.90531701260252,324.9624034168834,367.3944948331666,19.215610355379205,19.01963751443057,18.917967354774213,18.822093244208418,21.777589560958994,20.21374174235072,19.53379082531203,22.742214111926323,22.624927319094315,22.685142065582088,22.384160224157583,23.72153801786054,23.353533139985526,22.74020663081084
376,3.587924872248948,-30.40084139037413,"3.58799646757925,-30.400865807631327","3.5879934361651213,-30.4008679845179",6987.0,47.15963501519224,431.0142853498728,20.800689158358033,13.992788050653893,-20.5374534010791,0.7399081517145679,0.3272920938279885,1.4865292808738,403.5159711622515,-77.81732404448226,224.95081573090428,0.0026553612453124255,0.0018371403171866718,0.004763177533752978,0.5629486935872046,45.480296059211845,45.28105621124225,45.53010602120424,45.62972594518904,43.537707541508304,45.23124624924985,45.08181636327266,18.782156431286257,18.73234646929386,18.881776355271054,18.931586317263452,18.582916583316663,18.08481696339268,18.08481696339268,90.96059211842369,90.5621124224845,91.06021204240848,91.25945189037807,87.07541508301661,90.4624924984997,90.16363272654532,1.126929176951363,1.1239398129268283,1.1329029242724102,1.1358954454377166,1.1149891918977282,1.0850983681470046,1.0850991143424689,5.45763451529319,5.433722030565379,5.463595085899395,5.475568397609432,5.22459142849167,5.42779632148502,5.409868300879945,7.126625325065014,7.126625325065014,7.226245249049811,7.276055211042209,7.126625325065014,6.728145629125826,6.678335667133427,38.00880176035207,37.80956191238248,37.958991798359676,38.05861172234447,37.2616523304661,37.70994198839768,37.660132026405286,3.6350012586555156,3.623588592708063,3.6020098603509454,3.5927847823678407,3.591890912618518,3.7428024060502674,3.7560679719366736,2.00780276966807,1.9900454048233993,1.9569340498029075,1.9429604183809581,1.941612138290496,2.184330287783576,2.2071995101287314,326.2934390736147,380.35695031026205,521.0242563882776,358.0088131886377,11.683946313662732,127.9018640460092,166.90654651630325,19.984797015161984,19.77973873230534,19.66017192029873,19.561492909340068,22.996512592824974,21.226132352752927,20.390439008330105,23.126807441817714,23.004977928031703,23.056244348344343,22.753860056723408,24.33099953379353,23.85972844518663,23.168530722319876,652.8945933124625,760.3410519651931,1041.7373141110222,716.5137945663132,23.38799872194439,255.68870127985596,333.673646379676,19.23171018801867,19.0276960254162,18.907921225177247,18.808165814110883,22.243003821179876,20.474045694482804,19.638317667978377,22.750264028246058,22.628956574587132,22.680119000783602,22.377196509108813,23.95424514797098,23.483685116051568,22.792470052144015
337,3.595906186659731,-30.40620743607109,"3.5959927230056743,-30.406542943684965","3.5959896925257375,-30.40654511977949",28161.0,94.6780053910185,1272.4377336282355,44.518185419740526,23.44168229351086,87.68971779607956,0.8501353731502739,0.4734358089286316,1.8991036932560117,551.8400266956972,57.69293640460981,1979.5412751206013,0.001817657707465643,-0.0001059498095242043,0.0005067114742279725,0.6887622952347111,44.33466693338668,43.33846769353871,42.541508301660336,41.59511902380476,88.56591318263654,33.22704540908182,26.104220844168836,15.893178635727146,15.44488897779556,15.09621924384877,14.747549509901981,43.238847769553914,14.149829965993199,10.961992398479696,88.66933386677336,86.67693538707742,85.08301660332067,83.19023804760953,177.13182636527307,66.45409081816364,52.20844168833767,0.9535905413537447,0.9266925345863279,0.9057702307780667,0.8848531781190079,2.5943638996069356,0.8489971138074726,0.6577256638591791,5.320159045681286,5.200611610708424,5.104964517224117,4.9914154534947786,10.628044906346712,3.9872798076666096,3.1325356486543035,4.835367073414683,4.885177035407082,4.885177035407082,4.934986997399481,11.460092018403682,4.237647529505901,3.689737947589518,46.72554510902181,44.78295659131827,43.587517503500706,42.34226845369074,82.68833766753352,39.50310062012403,28.644528905781158,4.9256246390896505,4.811162278206499,4.752409139576738,4.667440542772076,4.291280781707564,4.847531769851903,4.450230806658095,5.675542813399604,5.1517840149914775,4.906685693099157,4.5772312618987,3.3822080521138282,5.3112784719604935,3.8433383933577074,261.96859738987797,315.45939480156034,433.04256737627526,298.398293035007,14.280996395879177,84.08934570734147,103.28190967913582,20.223194781373167,19.98285845924915,19.86099030416714,19.75923636795971,22.778590200885812,21.681472104416557,20.911561787751186,23.246006324923307,23.106537791503605,23.156653540278548,22.852731786033228,24.222038337823946,24.087398321018444,23.429092112030418,524.1407028469695,631.1615773056611,866.5673376067214,597.4391293552711,28.56615246569314,168.32697205381075,206.5714295275055,19.470198151646592,19.229865741695853,19.107810987112607,19.005493045670484,22.025857100217824,20.927940259629707,20.158946798923886,22.869508010060017,22.730041432726956,22.780063881751282,22.475860124888616,23.84567178748995,23.71063239862502,23.05278461761677
