id,sky_centroid,r_petrosian,r_half_light,r_total_flux,r_half_light_arcsec,r_total_flux_arcsec,r20,r80,c2080,n_estimate,f_half_light,mag_half_light,mag_half_light_err,f_total,mag_total,mag_total_err,surface_brightnesses,m_u,m_b,m_v,m_f105w,m_f125w,m_f140w,m_f160w,M_u,M_b,M_v,M_f105w,M_f125w,M_f140w,M_f160w,kcorrect_constant_0,kcorrect_constant_1,kcorrect_constant_2,kcorrect_constant_3,kcorrect_constant_4,kcorrect_constant_5
273,"3.5919245269315696,-30.405767771267364",126.95479095819164,,253.90958191638327,,15.234572090586028,,,,,,,,,,,-inf,0.47022905945777893,0.3004000186920166,0.350297212600708,0.38304778933525085,0.4110179841518402,0.41431599855422974,0.41220566630363464,-40.57892990112305,-40.74876022338867,-40.6988639831543,-40.66611099243164,-40.63814163208008,-40.63484573364258,-40.63695526123047,0.30799999833106995,8.82962417602539,0.23202890157699585,1.1005544662475586,1.594692349433899,9.856587409973145
339,"3.5862748381452128,-30.400429314663135",84.07261452290459,36.271054210842166,168.14522904580917,2.1762628491846394,10.088711872362756,11.21004200840168,76.69353870774155,4.175757684473675,3.082253002812057,2556.10682865093,17.74987036709313,22.00934411778329,5111.359896760352,16.997476715452272,21.633147291962857,26.336695370552277,17.872669219970703,17.709522247314453,17.680086135864258,16.986286163330078,16.800527572631836,16.696544647216797,16.58661460876465,-23.176490783691406,-23.339637756347656,-23.36907386779785,-24.06287384033203,-24.248632431030273,-24.352615356445312,-24.46254539489746,0.30799999833106995,7.21890000932035e-06,2.8921206762788643e-08,4.103130208932271e-07,8.37249672258622e-07,5.051484208706825e-07
455,"3.594814218595431,-30.3916651495097",62.538707741548315,23.18363672734547,125.07741548309663,1.391017945754465,7.50464353767055,8.100620124024806,55.43808761752351,4.176449869834916,3.0839668781803424,1428.5754475137028,18.381559914055593,22.325188891264517,2856.327348335467,17.629297923187693,21.94905789583057,25.912190370437582,18.4027156829834,18.25691032409668,18.254222869873047,17.650287628173828,17.47945213317871,17.38123893737793,17.276508331298828,-22.64644432067871,-22.79224967956543,-22.794937133789062,-23.39887237548828,-23.5697078704834,-23.66792106628418,-23.77265167236328,0.30799999833106995,3.735189466169686e-06,1.7962324960763e-08,2.2870335669722408e-07,4.489837124310725e-07,3.005112887422001e-07
379,"3.5854180928586743,-30.39421281208224",46.89877975595119,17.66093218643729,93.79755951190238,1.0596557347325117,5.627852527344528,5.826565313062613,46.43468693738748,4.507149514131746,4.023005713560103,1018.6908662706542,18.748711837901453,22.50876485318745,2037.8271204484895,17.995899524081413,22.13235869627743,25.715401268018194,18.8028621673584,18.65096092224121,18.639694213867188,18.007200241088867,17.831193923950195,17.731046676635742,17.624616622924805,-22.24629783630371,-22.3981990814209,-22.409465789794922,-23.041959762573242,-23.217966079711914,-23.318113327026367,-23.424543380737305,0.30799999833106995,2.7397768462833483e-06,1.233501745190324e-08,1.5685151311117806e-07,2.9718387395405443e-07,2.1788376614040317e-07
283,"3.59261551144839,-30.404485926812793",41.654530906181236,18.125025005001,83.30906181236247,1.0875012986839363,4.998542782042331,5.501700340068014,41.97939587917584,4.4126962616710985,3.729149464695322,942.1054549133827,18.83356907241577,22.55119347044461,1885.3579584874974,18.080333322122904,22.174575595298172,25.840919111553145,18.870487213134766,18.72015380859375,18.712963104248047,18.099756240844727,17.927406311035156,17.82876968383789,17.723709106445312,-22.178672790527344,-22.32900619506836,-22.336196899414062,-22.949403762817383,-23.121753692626953,-23.22039031982422,-23.325450897216797,0.30799999833106995,2.482651098034694e-06,1.1583193071373898e-08,1.4513850032926712e-07,2.742665401456179e-07,2.0712897708108358e-07
366,"3.587595012409505,-30.396447326611995",50.936387277455495,18.728345669133827,101.87277455491099,1.1237005318207884,6.112365340099317,5.73374674934987,45.460092018403685,4.495959017730987,3.9870531729443686,985.8334438115623,18.78430900034876,22.526563434411102,1973.4306527171434,18.03076319425601,22.149790531364726,25.880097920876214,18.832042694091797,18.688228607177734,18.67964744567871,18.02840805053711,17.847976684570312,17.745563507080078,17.636985778808594,-22.217117309570312,-22.360931396484375,-22.3695125579834,-23.020751953125,-23.201183319091797,-23.30359649658203,-23.412174224853516,0.30799999833106995,2.7352468805474928e-06,1.224376688924167e-08,1.6243106415458897e-07,3.27167015257146e-07,1.8009031066412717e-07
56,"3.5696516943216072,-30.40507042141748",4.944788957791559,2.0674134826965394,9.889577915583118,0.12404478596464381,0.5933745649269532,1.0928185637127426,3.5989197839567915,2.5881205152142965,0.8305316653928426,1152.0576351622326,18.615132352164327,22.441975110318886,2338.766962123425,17.846350492772608,22.057584180623028,20.297507792398417,17.897106170654297,17.89099884033203,18.067834854125977,18.037845611572266,17.978391647338867,17.918384552001953,17.84853172302246,-23.152053833007812,-23.158161163330078,-22.981325149536133,-23.011314392089844,-23.070768356323242,-23.130775451660156,-23.20062828063965,0.30799999833106995,1.9986807728855638e-06,3.3099571083994306e-08,2.0822493240757467e-07,3.8740688523830613e-07,5.537905067853899e-08
245,"3.5796649204425623,-30.40918690421905",33.857771554310865,12.23104620924185,67.71554310862173,0.7338626365008435,4.0629318332744635,4.573514702940589,28.056611322264455,3.938925680875638,2.5504584668690486,828.2998243878776,18.973348945268647,22.621083406871044,1657.4629180550112,18.220208316376045,22.244513092424743,25.17325497829658,19.05596923828125,18.906564712524414,18.889225006103516,18.20712661743164,18.02118682861328,17.916706085205078,17.80632972717285,-21.99319076538086,-22.142595291137695,-22.159934997558594,-22.84203338623047,-23.027973175048828,-23.13245391845703,-23.242830276489258,0.30799999833106995,2.3679390324105043e-06,9.901199859996268e-09,1.3042780722116731e-07,2.513971537609905e-07,1.534126994329199e-07
346,"3.5865165210289724,-30.399024409772874",94.14342868573715,28.799159831966396,188.2868573714743,1.7279492695667031,11.297209347854585,9.771354270854172,71.124424884977,4.310320041577045,3.4344070554880393,821.7154618205642,18.982014221076582,22.62541604477501,1643.9662531806362,18.229085622884075,22.24895174567876,26.974030568429708,18.98785972595215,18.847759246826172,18.849443435668945,18.247512817382812,18.076385498046875,17.977785110473633,17.872650146484375,-22.06130027770996,-22.201400756835938,-22.199716567993164,-22.801647186279297,-22.972774505615234,-23.071374893188477,-23.176509857177734,0.30799999833106995,2.161149041057797e-06,1.0587026366692953e-08,1.3588642389095185e-07,2.7277502567812917e-07,1.618288081317587e-07
162,"3.600045445816246,-30.389714301369754",61.053610722144434,28.752750550110022,122.10722144428887,1.7251647131715606,7.326431928381432,13.112822564512904,50.10102020404081,2.910751924269976,1.1242581979664852,743.24636684977,19.09098588108324,22.67990187477834,1486.5084100578115,18.338399441951413,22.30360865521243,27.137982226505333,19.159191131591797,19.015213012695312,19.001371383666992,18.32272720336914,18.138187408447266,18.03390121459961,17.923503875732422,-21.889968872070312,-22.033946990966797,-22.047788619995117,-22.72643280029297,-22.910972595214844,-23.0152587890625,-23.125656127929688,0.30799999833106995,2.1036557882325724e-06,9.155429303575602e-09,1.3464662629303348e-07,3.060534368160006e-07,1.1485721529425064e-07
335,"3.5902956481716304,-30.400426503312243",54.69553910782157,22.673134626925386,109.39107821564313,1.3603878254078978,6.563463476112396,7.636527305461092,45.552910582116425,3.8781011113219988,2.4302565943338315,540.6648161368274,19.43649759672042,22.852657732596935,1081.4207319427885,18.68383114050009,22.476324504486765,27.665182399382328,20.699949264526367,20.058252334594727,19.711402893066406,18.657026290893555,18.438886642456055,18.328927993774414,18.2147216796875,-20.349210739135742,-20.990907669067383,-21.337757110595703,-22.392133712768555,-22.610273361206055,-22.720232009887695,-22.83443832397461,0.30799999833106995,1.6312883417413104e-06,1.4480659726867628e-10,9.387114197068058e-09,1.5355036353525975e-08,2.675681400887697e-07
525,"3.574394876554946,-30.38365432369156",35.71414282856571,15.665333066613323,71.42828565713143,0.9399198097413858,4.28569634488586,6.661932386477296,28.98479695939188,3.1928502091631676,1.4219979923866228,573.9085984392879,19.371711039718257,22.82026445409585,1146.5863676033207,18.62030093371565,22.444559401094548,26.02450267758839,19.338106155395508,19.22043228149414,19.235958099365234,18.615764617919922,18.437686920166016,18.335153579711914,18.226306915283203,-21.7110538482666,-21.82872772216797,-21.813201904296875,-22.433395385742188,-22.611473083496094,-22.714006423950195,-22.822853088378906,0.30799999833106995,1.5964164958859328e-06,7.983138594624961e-09,1.0238247227789543e-07,2.1563619156950153e-07,7.884356989507069e-08
405,"3.5784463234068986,-30.403389660804752",18.357071414282856,8.054210842168434,36.71414282856571,0.48325256093802166,2.2028481613192974,3.2740548109621925,17.939387877575516,3.6936083721621977,2.10175546063471,458.2416512134427,19.61608146542961,22.942449666951525,917.4657052514503,18.862343270082523,22.565580569277984,24.87146916677035,19.64934730529785,19.511981964111328,19.507606506347656,18.855270385742188,18.674217224121094,18.57122039794922,18.46202278137207,-21.399812698364258,-21.53717803955078,-21.541553497314453,-22.193889617919922,-22.374942779541016,-22.47793960571289,-22.58713722229004,0.30799999833106995,1.2798915349776507e-06,5.8465494667814255e-09,8.01792694460346e-08,1.7198830448705849e-07,7.40890371275782e-08
375,"3.588103377575679,-30.395036062610526",21.46649329865973,10.003400680136028,42.93298659731946,0.6002039295340053,2.5759787182683875,3.4132826565313064,25.132826565313064,4.335345401391772,3.504246478153078,471.9612041576316,19.584052117188754,22.9264349928311,945.0434896525305,18.830188381905252,22.54950312518935,25.376283649491956,19.68236541748047,19.546173095703125,19.513500213623047,18.750534057617188,18.559131622314453,18.45095443725586,18.336029052734375,-21.36679458618164,-21.502986907958984,-21.535659790039062,-22.298625946044922,-22.490028381347656,-22.59820556640625,-22.713130950927734,0.30799999833106995,1.3807888308292604e-06,6.03807892574082e-09,1.2393464032811607e-07,5.567612220147566e-07,3.5300988798780963e-09
315,"3.5908346165108767,-30.40252405001675",4.99119823964793,2.1138227645529106,9.98239647929586,0.12682934235978627,0.5989436777172381,1.1392278455691138,3.5989197839567915,2.4978078757116133,0.7562494832237184,505.78906566773355,19.50889427753955,22.888856073006497,1012.6267557081416,18.755194373055325,22.512006120764383,21.960421871476164,19.82297134399414,19.505706787109375,19.408296585083008,18.90835189819336,18.78352165222168,18.713199615478516,18.635692596435547,-21.22618865966797,-21.543453216552734,-21.6408634185791,-22.14080810546875,-22.26563835144043,-22.335960388183594,-22.413467407226562,0.30799999833106995,8.871666068444028e-07,3.1364435493230758e-09,2.8804866047948963e-08,2.995984260678597e-08,2.9411157242975605e-07
430,"3.574907683747446,-30.3983843593579",31.5373074614923,13.576915383076615,63.0746149229846,0.8146147719599749,3.784476193760217,5.780156031206241,26.757151430286058,3.327501572308042,1.5816183421754804,468.9259636979396,19.591057169444753,22.9299375189591,937.1605715733147,18.839282847033804,22.554050357753624,26.02484713264816,19.677871704101562,19.531469345092773,19.51361656188965,18.817720413208008,18.629440307617188,18.523775100708008,18.412240982055664,-21.371288299560547,-21.517690658569336,-21.53554344177246,-22.2314395904541,-22.419719696044922,-22.5253849029541,-22.636919021606445,0.30799999833106995,1.3575807997767697e-06,5.647271983377777e-09,7.911666699556008e-08,1.653608450169486e-07,7.651493660887354e-08
492,"3.5702033895901124,-30.386428664922068",30.377075415083016,11.349269853970794,60.75415083016603,0.6809560649931365,3.6452483740030934,3.5989197839567915,29.30966193238648,4.5541932118107376,4.177715131996574,446.1496717475495,19.645116423993244,22.956967146233346,891.7957924632926,18.893154320984564,22.580986094729006,25.528150594464506,19.522489547729492,19.423938751220703,19.4631290435791,18.90353775024414,18.73446273803711,18.63478660583496,18.528411865234375,-21.526670455932617,-21.625221252441406,-21.586030960083008,-22.14562225341797,-22.314697265625,-22.41437339782715,-22.520748138427734,0.30799999833106995,1.197324081658735e-06,6.877766356438997e-09,8.308585108807165e-08,1.778484914893852e-07,5.263487068418726e-08
376,"3.5851880600713524,-30.39481006100493",20.213442688537707,8.33266653330666,40.426885377075415,0.4999598993088764,2.4256126729306944,3.2276455291058213,18.86757351470294,3.8341510892173005,2.347218371351117,364.3934359427885,19.864891505621028,23.066854687047236,729.0220414568914,19.111966220729293,22.690392044601367,25.187906117622315,19.879621505737305,19.754613876342773,19.756938934326172,19.090164184570312,18.904821395874023,18.799497604370117,18.688114166259766,-21.169538497924805,-21.294546127319336,-21.292221069335938,-21.958995819091797,-22.144338607788086,-22.249662399291992,-22.361045837402344,0.30799999833106995,1.05172591702285e-06,4.8419348530615025e-09,6.715806222246101e-08,1.4971885775594274e-07,4.576618195528681e-08
420,"3.5929957007009037,-30.399331137526936",30.51630326065213,12.370274054810963,61.03260652130426,0.7422163056862708,3.661955712373948,5.408881776355271,25.04000800160032,3.3276348714240305,1.5817829887213377,424.2929241102221,19.699653395617766,22.984235632045603,847.9110991958393,18.947942067880703,22.608379968177076,25.838246833977188,19.684545516967773,19.546977996826172,19.554414749145508,18.97660255432129,18.80946159362793,18.71254539489746,18.609006881713867,-21.364614486694336,-21.502182006835938,-21.4947452545166,-22.07255744934082,-22.23969841003418,-22.33661460876465,-22.440153121948242,0.30799999833106995,1.0930141343123978e-06,5.557654780830035e-09,6.63756267726967e-08,1.2419471318025899e-07,8.95901592912196e-08
518,"3.593272445698037,-30.384377758223735",21.09521904380876,8.564712942588518,42.19043808761752,0.5138826812845888,2.531425815946108,3.830966193238648,16.54710942188438,3.177069096337524,1.4041001526068837,370.29493338147626,19.847448444004176,23.05813315623881,743.037558290058,19.091290952019953,22.680054410246697,25.386735117163855,20.07320213317871,19.893798828125,19.836130142211914,19.04465675354004,18.84306526184082,18.73293113708496,18.6175479888916,-20.9759578704834,-21.15536117553711,-21.213029861450195,-22.00450325012207,-22.20609474182129,-22.31622886657715,-22.431612014770508,0.30799999833106995,1.1446140888438094e-06,3.775316059773104e-09,5.732674068781307e-08,1.1579756886703763e-07,6.789542794649606e-08
354,"3.5884053650984726,-30.39836552760614",22.8123624724945,8.98239647929586,45.624724944989,0.538943688840871,2.7374829891866503,3.320464092818564,23.230046009201843,4.224256408896322,3.204735245876237,340.72516947089423,19.937807327930805,23.103312598202123,680.3520558625725,19.18698361482274,22.727900741648092,25.498137304999982,20.065738677978516,19.901803970336914,19.871810913085938,19.17548942565918,18.988693237304688,18.88439178466797,18.77425193786621,-20.983421325683594,-21.147356033325195,-21.177349090576172,-21.87367057800293,-22.060466766357422,-22.16476821899414,-22.2749080657959,0.30799999833106995,9.68463041317591e-07,3.817425042740297e-09,5.0995726752489645e-08,9.600322670166861e-08,7.076078389900431e-08
