id,ra,dec,r_petrosian,r_half_light,r_total_flux,r_half_light_arcsec,r_total_flux_arcsec,r20,r80,c2080,n_estimate,f_half_light,mag_half_light,mag_half_light_err,f_total,mag_total,mag_total_err,surface_brightness,m_u,m_b,m_v,m_f105w,m_f125w,m_f140w,m_f160w,M_u,M_b,M_v,M_f105w,M_f125w,M_f140w,M_f160w,kcorrect_constant_0,kcorrect_constant_1,kcorrect_constant_2,kcorrect_constant_3,kcorrect_constant_4,kcorrect_constant_5
405,3.5784463234068986,-30.403389660804752,18.357071414282856,8.054210842168434,36.71414282856571,0.48325256093802166,2.2028481613192974,3.2740548109621925,17.939387877575516,3.6936083721621977,2.10175546063471,458.2416512134427,19.61608146542961,22.942449666951525,917.4657052514503,18.862343270082523,22.565580569277984,18.76222501611083,19.64934730529785,19.511981964111328,19.507606506347656,18.855270385742188,18.674217224121094,18.57122039794922,18.46202278137207,-21.377084732055664,-21.514450073242188,-21.51882553100586,-22.171161651611328,-22.352214813232422,-22.455211639404297,-22.564409255981445,0.30799999833106995,1.2798915349776507e-06,5.8465494667814255e-09,8.01792694460346e-08,1.7198830448705849e-07,7.40890371275782e-08
376,3.5851880600713524,-30.39481006100493,20.213442688537707,8.33266653330666,40.426885377075415,0.4999598993088764,2.4256126729306944,3.2276455291058213,18.86757351470294,3.8341510892173005,2.347218371351117,364.3934359427885,19.864891505621028,23.066854687047236,729.0220414568914,19.111966220729293,22.690392044601367,19.0786619669628,19.879621505737305,19.754613876342773,19.756938934326172,19.090164184570312,18.904821395874023,18.799497604370117,18.688114166259766,-21.14681053161621,-21.271818161010742,-21.269493103027344,-21.936267852783203,-22.121610641479492,-22.2269344329834,-22.33831787109375,0.30799999833106995,1.05172591702285e-06,4.8419348530615025e-09,6.715806222246101e-08,1.4971885775594274e-07,4.576618195528681e-08
469,3.58918720358872,-30.389855263872096,20.67753550710142,7.54370874174835,41.35507101420284,0.4526224405914546,2.481303800833544,2.9027805561112223,17.428885777155433,3.8922770917039164,2.4577147010908074,362.3243523726746,19.871074056947357,23.0699459627104,726.1939042212442,19.116186370822874,22.69250211964816,18.886269956992297,19.921241760253906,19.778217315673828,19.768882751464844,19.10956382751465,18.927539825439453,18.824411392211914,18.715171813964844,-21.10519027709961,-21.248214721679688,-21.257549285888672,-21.916868209838867,-22.098892211914062,-22.2020206451416,-22.311260223388672,0.30799999833106995,1.0163806791751995e-06,4.504254302872823e-09,6.044562184115421e-08,1.2316965580794204e-07,6.389831952446912e-08
486,3.58918326540813,-30.38739365171221,21.42008401680336,7.1260252050410084,42.84016803360672,0.4275614330351724,2.5704096054781025,2.8099619923984798,17.196839367873576,3.933740944790074,2.539966918905856,343.681955260052,19.928426042325274,23.09862195539936,688.5440555735147,19.173988535384847,22.721403201929146,18.926383359939223,20.118030548095703,19.942018508911133,19.894018173217773,19.144023895263672,18.94950294494629,18.84222984313965,18.729381561279297,-20.908401489257812,-21.084413528442383,-21.132413864135742,-21.882408142089844,-22.076929092407227,-22.184202194213867,-22.29705047607422,0.30799999833106995,1.017643171508098e-06,3.615995503025715e-09,5.4090659062921986e-08,1.1055043813712473e-07,6.685424125407735e-08
351,3.5821654005227455,-30.398575367008235,20.72394478895779,8.239847969593919,41.44788957791558,0.49439078651859153,2.4868729136238286,3.4132826565313064,18.4498899779956,3.6641076332790146,2.053876959768764,317.088848104821,20.015865447667036,23.14234165807024,633.7808017661532,19.263970169525265,22.766394018999357,19.25209376411064,20.090469360351562,19.952369689941406,19.938819885253906,19.232763290405273,19.041589736938477,18.93439483642578,18.82143783569336,-20.935962677001953,-21.07406234741211,-21.08761215209961,-21.793668746948242,-21.98484230041504,-22.092037200927734,-22.204994201660156,0.30799999833106995,9.388926400788478e-07,3.923905200764466e-09,5.5156480271989494e-08,1.175360466731945e-07,4.462668812266202e-08
521,3.605426412572937,-30.384840263465176,20.770354070814165,7.914982996599321,41.54070814162833,0.4748988917525943,2.4924420264141136,3.4596919383876776,18.589117823564713,3.651106752605707,2.033156167540956,276.7279168581716,20.163685433885593,23.21625165117952,554.5172361586317,19.40903024360295,22.8389240560382,19.27404068542421,20.19812774658203,20.061662673950195,20.05733299255371,19.398950576782227,19.216096878051758,19.112369537353516,19.002565383911133,-20.828304290771484,-20.96476936340332,-20.969099044799805,-21.62748146057129,-21.810335159301758,-21.9140625,-22.023866653442383,0.30799999833106995,7.836443955966388e-07,3.526477776460979e-09,4.6679804910354505e-08,9.488775276622619e-08,4.5453283803453814e-08
270,3.5959371261113637,-30.406199607176312,20.491898379675938,8.239847969593919,40.983796759351875,0.49439078651859153,2.459027349672404,3.1348269653930787,20.120624124824964,4.037139370914254,2.758197041469783,213.69101985277055,20.44435218906157,23.35658502876751,427.3512380108022,19.69185545241859,22.980336660446017,19.645591231151656,20.490888595581055,20.345867156982422,20.337383270263672,19.69339370727539,19.514808654785156,19.41319465637207,19.305316925048828,-20.53554344177246,-20.680564880371094,-20.689048767089844,-21.333038330078125,-21.51162338256836,-21.613237380981445,-21.721115112304688,0.30799999833106995,5.848476121173007e-07,2.651997066394074e-09,3.5830083788823686e-08,7.405999724596768e-08,3.9433359688700875e-08
468,3.590338806319776,-30.39093580640576,14.505101020204041,5.73374674934987,29.010202040408082,0.3440247411808985,1.7406117997256483,2.4386877375475096,11.581316263252651,3.3830086349934865,1.6514684459873104,216.71591718083616,20.429090842943424,23.348954355708436,434.1545523788758,19.674706970401704,22.971762419437574,18.770030118148334,20.378562927246094,20.257709503173828,20.27576446533203,19.687509536743164,19.516077041625977,19.41651153564453,19.31039810180664,-20.647869110107422,-20.768722534179688,-20.750667572021484,-21.33892250061035,-21.51035499572754,-21.609920501708984,-21.716033935546875,0.30799999833106995,5.803583462693496e-07,3.027939010635805e-09,3.747299359702083e-08,7.631375353867043e-08,3.517677882314274e-08
182,3.588145039088445,-30.385002695429606,20.399079815963194,8.239847969593919,40.79815963192639,0.49439078651859153,2.447889124091834,3.691738347669534,18.07861572314463,3.449671303854557,1.739054132242638,212.7230400640128,20.449281541098394,23.359049704785917,425.3003172280456,19.697078601846286,22.982948235159864,19.546538801952437,20.36288833618164,20.246814727783203,20.2742862701416,19.72555160522461,19.561368942260742,19.464672088623047,19.361164093017578,-20.663543701171875,-20.779617309570312,-20.752145767211914,-21.300880432128906,-21.465063095092773,-21.56175994873047,-21.665267944335938,0.30799999833106995,5.472676321005565e-07,3.075499854787722e-09,3.6499255173794154e-08,7.303631122113075e-08,3.623491906523668e-08
255,3.5917322431481624,-30.40782039891801,13.159231846369273,5.316063212642529,26.318463692738547,0.31896373362461633,1.5791075288073853,2.3922784556911383,12.091818363672735,3.5183994284967306,1.834078720097097,157.986779674935,20.772266001632367,23.520541935052908,316.18550434987,20.018962979349887,23.143890423911667,18.941182171380483,20.712722778320312,20.593103408813477,20.613502502441406,20.03570556640625,19.866437911987305,19.7677001953125,19.662309646606445,-20.313709259033203,-20.43332862854004,-20.41292953491211,-20.990726470947266,-21.15999412536621,-21.258731842041016,-21.36412239074707,0.30799999833106995,4.174121954747534e-07,2.2291288814813015e-09,2.7869308638628354e-08,5.795870450242546e-08,2.5383823043512166e-08
416,3.605262029244778,-30.400805404363524,8.796759351870374,3.691738347669534,17.59351870374075,0.22150425979463007,1.0556109265206022,1.7889577915583117,7.914982996599321,3.229249461122215,1.4639028812222266,165.29547676675335,20.723165444800678,23.49599165663706,331.42863683776756,19.967842792006028,23.118330330239736,18.129364614463558,20.70791244506836,20.573081970214844,20.580018997192383,19.987445831298828,19.81745147705078,19.719104766845703,19.61417007446289,-20.318519592285156,-20.453350067138672,-20.446413040161133,-21.038986206054688,-21.208980560302734,-21.307327270507812,-21.412261962890625,0.30799999833106995,4.344229580510728e-07,2.187732439651313e-09,2.781487751235545e-08,5.622511167757693e-08,3.139899007464919e-08
