id,xcentroid,ycentroid,sky_centroid,sky_centroid_icrs,source_sum,source_sum_err,background_sum,background_mean,background_at_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,min_value,max_value,minval_xpos,minval_ypos,maxval_xpos,maxval_ypos,area,equivalent_radius,perimeter,semimajor_axis_sigma,semiminor_axis_sigma,orientation,eccentricity,ellipticity,elongation,covar_sigx2,covar_sigxy,covar_sigy2,cxx,cxy,cyy,gini,aperture_sum_001,aperture_sum_023,aperture_sum_024,aperture_sum_025,aperture_sum_026,aperture_sum_027,aperture_sum_028,aperture_sum_029,aperture_sum_022,aperture_sum_030,aperture_sum_032,aperture_sum_033,aperture_sum_034,aperture_sum_035,aperture_sum_036,aperture_sum_037,aperture_sum_038,aperture_sum_031,aperture_sum_021,aperture_sum_020,aperture_sum_019,aperture_sum_002,aperture_sum_003,aperture_sum_004,aperture_sum_005,aperture_sum_006,aperture_sum_007,aperture_sum_008,aperture_sum_009,aperture_sum_010,aperture_sum_011,aperture_sum_012,aperture_sum_013,aperture_sum_014,aperture_sum_015,aperture_sum_016,aperture_sum_017,aperture_sum_018,aperture_sum_039,aperture_sum_040
95,482.0,571.0,"3.588682266365379,-30.39606219686961","3.588679234326983,-30.39606437368826",761.3982,None,None,None,None,451.0,509.0,520.0,620.0,0.019332618,12.525523,456.0,604.0,482.0,571.0,3856.0,35.03431062722223,332.1614716074871,13.284111951452104,7.952010821339721,78.98424340173135,0.8010401337563335,0.40138935516344576,1.6705349439167454,67.36875006581637,21.237812036953027,172.3333563756003,0.015443664833575123,-0.0038064557877270947,0.0060372548771450004,0.692496563216171,33.760995960765555,625.7793489949768,634.1095669695221,641.9680670317019,649.3532703924957,656.4404421715914,663.2247876231514,669.6170249775571,616.5093954139766,675.7823610754848,687.3081157285818,692.4758783608489,696.8775287553575,700.8910348380568,704.5967780096701,708.0301587622155,711.0675482046909,681.7099652724283,606.7379503911643,596.2847714369922,584.9350004930124,108.08483966620813,183.5095681989562,246.91860286939973,297.0275116917641,337.31479004746865,371.1974099277437,400.3235807397442,425.4608548026549,447.3320661943671,466.92848160466605,484.99524893169905,501.90569429637674,517.7454353312701,532.6228203827483,546.6460330792451,559.9654929106464,572.6893158781494,713.6254686962257,715.627884992678
89,498.0,434.0,"3.588392109263839,-30.39834638380611","3.5883890775230847,-30.398348560653503",739.16296,None,None,None,None,453.0,540.0,383.0,494.0,0.019337714,8.435383,456.0,408.0,498.0,434.0,6233.0,44.542401378726396,485.76554800834367,14.342751888809277,12.87607483007545,88.11500789232062,0.4405238885452803,0.10225911108998409,1.1139071555648323,165.8364967899389,1.312433724232079,205.67133798370568,0.0060303402629247735,-7.696183636714662e-05,0.004862371750282445,0.6673982807881805,23.506390837882208,544.9180597209089,551.9649915405289,558.5888652009332,564.8295488455076,570.6956636067276,576.2699634145282,581.6046581795956,537.381808795372,586.7216867699617,596.3943185381819,600.9426718646915,605.2092129427882,608.9466053063854,612.1560895337498,615.0568716799921,617.6437497933836,591.6383272834345,529.220044372224,520.3787631308305,510.80892444726686,78.42813660532357,139.21223163700847,193.5892121398942,238.30091502920507,274.88915427668724,306.0845458451465,333.6113209025063,358.29972631048236,380.4275004551872,400.28655869886114,418.30070123711766,434.7943261339211,449.9853301589559,464.08686188745696,477.16561080054225,489.25963694565723,500.45650736586106,619.9678751614157,622.0022734402703
101,546.0,738.0,"3.5873614888419922,-30.39334183760247","3.587358456412,-30.393344014551943",676.4746,None,None,None,None,491.0,606.0,683.0,776.0,0.019334225,1.8932482,522.0,719.0,546.0,738.0,6397.0,45.12458688916397,467.6295090390226,23.628924948234655,10.68869218909454,-33.69875448818766,0.8918373233353181,0.547643736965989,2.2106469650555356,421.62456979529867,-204.98494194563523,250.94966512721794,0.0039341376726852164,0.006427097498079502,0.006609807998430664,0.5352553479518445,5.415252179469651,392.799689191856,405.83961570972536,418.1852189593534,429.7906659708655,440.68140257641454,450.94903873646365,460.73853502975567,379.15543137571024,470.10881650357715,487.3037754595225,495.0548550600678,502.28219851533197,509.1381235667854,515.7548317877224,522.2141150515868,528.4597496232402,478.9915236408192,365.01798745592305,350.48357626527707,335.5378129887992,19.050626109471622,36.50915045838059,55.40051434576901,74.65695419107348,94.2043609072887,114.31984113424758,134.7915792643202,155.14643999969647,175.01138052867068,194.34060328846329,213.25697387668916,231.9104022676443,250.4864970487925,269.0307394117961,287.0573189223794,304.0951728829051,320.1509265837099,534.4071200158395,540.0724561395172
80,520.0,285.0,"3.5879889979846,-30.400874920158856","3.587985966571518,-30.400877097046177",660.52686,None,None,None,None,452.0,557.0,231.0,323.0,0.01969881,3.2619107,461.0,318.0,520.0,285.0,6317.0,44.84153823212363,362.58178182427014,20.075335012728896,13.328434052561533,-19.635917263068354,0.747802826579603,0.33607912176257315,1.5062035745204971,377.5691176992371,-71.33025730188237,203.09711246754344,0.0028367423415183554,0.001992599093716658,0.005273665834113316,0.5385861366068495,9.074630294821011,378.9248022703173,387.49080861501545,395.72029099170743,403.65724045334264,411.34985824002274,418.48540556632537,424.82949500531555,369.9786164447793,430.6851472814654,440.9462715083836,445.4407484898966,449.44334175809547,453.06439851707205,456.3378895126782,459.2776884348932,461.9251380285997,436.0476207421867,360.6723231767723,351.0414486093503,341.0144900009641,30.816889016785353,56.35798333772529,81.4473687514773,105.25996296740823,128.08744984218555,150.4189443712094,172.20536618356678,193.2490461335482,213.225383933975,231.95881265948614,249.44392139963543,265.7016991095629,280.7230892669754,294.5504958463687,307.370205431793,319.3067405882077,330.4711959876681,464.20513587541154,466.39382197196517
88,819.0,421.0,"3.582167833269941,-30.398575694947827","3.582164801420964,-30.398577872411725",648.88934,None,None,None,None,780.0,855.0,381.0,459.0,0.01933363,6.978065,794.0,447.0,819.0,421.0,3999.0,35.6780217339608,414.55234457274724,10.127489510938824,9.504969227118805,17.53153398630629,0.34519325254225275,0.06146837112471237,1.065494192452922,101.45705661223842,3.510519814978804,91.45342719041291,0.009869495440925146,-0.0007576984345720118,0.01094906979920312,0.7150315068283006,19.703986869050024,558.2414154672325,564.335534992525,569.8083590490571,574.7829911985436,579.2661578576029,583.326387060227,587.034796864114,551.4915198659195,590.4303163567234,596.1191004656229,598.4952339826655,600.6734723178776,602.6907225991988,604.6002575550104,606.4095558108684,608.0454814653515,593.4697466905733,544.0181711240389,535.7394178830612,526.5622067091625,67.3921950174547,123.39744096569108,177.27808592805124,224.69221287238236,265.6661610085522,301.41739397446946,333.0783747953055,361.231113975084,386.3301957479414,408.80591355409274,429.0782120009937,447.4294558749764,464.0224477119894,479.07058207878754,492.7130232799162,505.1084100504442,516.3754086897748,609.5515491274374,610.8788917646779
53,882.0,887.0,"3.5809503449640854,-30.390796194821807","3.580947312052331,-30.390798372406287",476.41846,None,None,None,None,854.0,915.0,866.0,919.0,0.019354496,2.222265,896.0,903.0,882.0,887.0,2066.0,25.644263000829476,201.20815280171308,9.235707173314921,6.094317933372343,-36.81759750784972,0.7513843655439375,0.3401352144445542,1.515461988410615,68.00374875201483,-23.10328949126861,54.43524931222962,0.017182632145486182,0.01458523033125741,0.021465565310774103,0.6726693607426236,6.711902553088519,454.1068270976109,458.33443225955546,462.29935776220555,465.94960742416845,469.19942754079864,471.9894400991101,474.35822887237634,449.5280755416817,476.4027135133341,479.64504317071237,480.95274471602943,482.1455115150649,483.19376507795255,484.10271297793867,484.90701037021535,485.68139317111667,478.16480025924653,444.46023250470955,438.76534632808875,432.3232845885715,25.506249883138643,53.93338300866336,89.8034016931332,129.5981463362026,169.88360431687516,208.24960319741413,243.66051080029197,275.44500023671725,303.3393415202147,327.5396469333207,348.48824885795455,366.55833775865057,382.02739061290777,395.28460274471706,406.6948281466728,416.5114104794502,424.96991436261334,486.42366338195455,487.1339744733294
52,396.0,879.0,"3.5903404748082286,-30.39093712255158","3.5903374421244942,-30.390939299205986",431.6129,None,None,None,None,374.0,419.0,858.0,901.0,0.019336876,9.149316,374.0,877.0,396.0,879.0,1534.0,22.09722528748655,173.57463914933368,6.460753738567899,5.061885473469687,31.405046258660793,0.6214142430873452,0.21651781227127953,1.2763532032539948,37.364650746953345,7.1687463349987315,29.99937266998918,0.028049244502233776,-0.013405474903548655,0.03493573802595934,0.7350493857456881,24.491773454115535,425.2719933288835,427.00458278588417,428.53048957263303,429.9105219743514,431.12850306646607,432.202030903765,433.12362794123675,423.28640419206386,433.92317926050146,435.20999262015124,435.77215205878446,436.310019252025,436.78049823235443,437.19599800557273,437.5760890016238,437.92259409663535,434.5969205739753,421.0038632562234,418.3201863279501,415.1546655352786,77.49198226341127,129.78494034542686,173.44025232772196,209.0962044277308,239.60270409899582,267.2580166040437,292.51900966816123,314.99375018762146,334.46659724302685,351.10592811489545,365.2283845551715,377.0976243793589,386.9560120052061,395.0254750861638,401.601776156897,406.9826475492142,411.42895192219106,438.1907019840588,438.442150088517
93,646.0,506.0,"3.585526180757639,-30.39713978779315","3.585523148792361,-30.397141964924412",345.8537,None,None,None,None,597.0,704.0,470.0,553.0,0.019334698,0.9496856,678.0,541.0,646.0,506.0,5597.0,42.20877199079211,486.1858582251266,17.073794699694275,14.808007584215602,12.206382082915859,0.4977954565945439,0.13270553824330833,1.153010936994242,288.2851516005651,14.928117541700896,222.50640246092996,0.003480880752843111,-0.000467069679365388,0.004509920723351177,0.46140287507770417,2.635037725325243,195.84250004545996,199.81505481521648,203.49880620918728,206.89193989638136,210.1262108631933,213.24509030422223,216.2424664469923,191.54323021908417,219.15561702076963,224.82004558098774,227.5566909036285,230.18528251222827,232.56412073725286,234.61021616066142,236.39175563438818,237.94253040375236,222.00688455375285,186.84707545553587,181.7206679627169,176.04724473790026,9.154487435949575,17.44638265327534,26.60557771194374,36.409165173786064,46.82961783978261,57.74602566570079,69.01103731600362,80.47195845113234,91.98369969645849,103.43997598178883,114.72741331219474,125.68629298337048,136.10165035959977,145.8115471498133,154.66943613221372,162.6187853066332,169.7095906599187,239.35656934688734,240.68326670650148
44,859.0,699.0,"3.5813832507615317,-30.393929025977133","3.5813802182764602,-30.39393120351874",322.83527,None,None,None,None,835.0,889.0,675.0,724.0,0.019332634,4.9550657,865.0,722.0,859.0,699.0,1949.0,24.907548417542184,207.23759005323592,8.751094572715965,6.005596080910632,41.03467861599443,0.7273487789120034,0.31373201020649566,1.4571567009862962,59.119397554950616,20.063491991680905,53.529442952717325,0.019380087366363107,-0.014527789053084633,0.021403904588989095,0.6943980650156302,13.584170041150465,304.22012514060975,307.3010737029191,310.1285315045093,312.7218227077058,315.06478165311245,317.10950609056204,318.89083160277124,300.79926311552447,320.4140158536768,322.85453965848353,323.8839555726673,324.7765661260733,325.5910115199088,326.3576905356988,327.03402227989994,327.6293520596212,321.7189532209644,296.9166152167339,292.50954449081803,287.4977187968008,44.93310429265474,79.597021850194,111.07995880446431,137.06080636632205,158.57529962513172,176.58758446915323,191.95355164944803,205.27801624061016,216.92308336550425,227.30752271915563,236.78577935249848,245.5439033755474,253.70680458390993,261.40446482155323,268.7185272237095,275.54856089576856,281.83077426360944,328.17282468144134,328.67363765304873
122,194.0,908.0,"3.5942780792071654,-30.390441856114105","3.594275046545223,-30.39044403237848",307.3349,None,None,None,None,151.0,221.0,885.0,940.0,0.019333307,5.187224,159.0,930.0,194.0,908.0,2341.0,27.297682018007574,295.6761902332486,9.81055344292647,7.298374341729039,-18.922653591295695,0.6682564940184751,0.2560690501114127,1.3442107767525497,91.72689672595189,-13.185007822416916,57.7863301625733,0.01127160675452066,0.005143646354127436,0.017891939249277584,0.6815694338128219,14.390761491772263,264.16610920517905,265.7400230521541,267.08723981752536,268.2380068301408,269.25131630962744,270.1503345228606,270.9775776690265,261.8536587820164,271.76243493053084,273.2341459784627,273.8935131688175,274.50435963612193,275.0410151532298,275.5375323411952,275.97675846251354,276.3791549234535,272.52769027073543,258.9953319092135,255.98760062548982,252.83682154144302,47.26830520589955,81.88885833422097,111.89365158461761,135.8544500109739,154.8982713801871,170.48301997110624,183.5315437875291,194.52692579683182,203.812586298393,211.8212623598638,218.94261962458464,225.38094059178326,231.3130838565939,236.86665572322764,241.68977549022938,245.7650954818867,249.45672169644615,276.751644009978,277.08937714853755
